"","mso_calc_type","region","season.annual.avg_loss","season.annual.beekeepers","season.annual.colonies","season.annual.exclusive_beekeepers","season.annual.exclusive_colonies","season.annual.operation.backyard","season.annual.operation.commercial","season.annual.operation.sideline","season.annual.total_loss","season.summer.avg_loss","season.summer.beekeepers","season.summer.colonies","season.summer.exclusive_beekeepers","season.summer.exclusive_colonies","season.summer.operation.backyard","season.summer.operation.commercial","season.summer.operation.sideline","season.summer.total_loss","season.winter.avg_loss","season.winter.beekeepers","season.winter.colonies","season.winter.exclusive_beekeepers","season.winter.exclusive_colonies","season.winter.operation.backyard","season.winter.operation.commercial","season.winter.operation.sideline","season.winter.total_loss","state","year"
"1","MSO in","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas","2008/09"
"2","MSO in","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    29.61,    16.00,  4848.00,   100.00,   100.00,     9.00,     3.00,     4.00,    41.92,"Alabama","2007/08"
"3","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2007/08"
"4","MSO in","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona","2007/08"
"5","MSO in","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    12.79,    20.00, 16955.00,   100.00,   100.00,    10.00,     5.00,     5.00,    17.45,"Arkansas","2007/08"
"6","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puerto Rico","2007/08"
"7","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2007/08"
"8","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    29.76,    43.00,202865.00,     0.00,     0.00,     0.00,    40.00,     3.00,    31.16,"MultiStateOperation","2007/08"
"9","MSO in","",    47.20,   100.00,152583.00,     0.00,     0.00,    48.00,    28.00,    24.00,    33.90,    18.37,   105.00,146930.00,     0.00,     0.00,    48.00,    32.00,    25.00,    15.54,    40.17,   117.00,147342.00,     0.00,     0.00,    56.00,    32.00,    29.00,    24.88,"MultiStateOperation","2017/18"
"10","MSO in","South East",    39.55,    52.00,  1776.00,    96.15,    99.35,    48.00,     0.00,     4.00,    46.06,    17.60,    57.00,  1613.00,    96.49,    99.37,    53.00,     0.00,     4.00,    14.38,    30.44,    65.00,  1892.00,    95.38,    98.89,    60.00,     0.00,     5.00,    37.90,"Alabama","2017/18"
"11","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2017/18"
"12","MSO in","South West",    37.74,     6.00,  1576.00,    83.33,    10.18,     5.00,     1.00,     0.00,    77.92,    27.62,     7.00,  1077.00,    85.71,    10.45,     6.00,     1.00,     0.00,    31.57,    19.05,     6.00,  1237.00,    83.33,     7.61,     5.00,     1.00,     0.00,    71.87,"Arizona","2017/18"
"13","MSO in","South",    42.28,    32.00,  3953.00,    90.63,    42.64,    29.00,     2.00,     1.00,    46.95,    29.14,    35.00,  4023.00,    91.43,    43.88,    32.00,     2.00,     1.00,    37.26,    24.70,    42.00,  2627.00,    90.48,    32.31,    38.00,     2.00,     2.00,    17.13,"Arkansas","2017/18"
"14","MSO in","West",    41.38,   111.00,141770.00,    64.86,     3.81,    70.00,    23.00,    18.00,    34.41,    21.19,   120.00,125590.00,    65.83,     3.61,    77.00,    25.00,    18.00,    15.95,    32.13,   136.00,136403.00,    66.91,     4.64,    90.00,    27.00,    19.00,    25.29,"California","2017/18"
"15","MSO in","South West",    54.35,    81.00,  3634.00,    95.06,    10.62,    79.00,     1.00,     1.00,    23.09,    22.18,    87.00,  3960.00,    95.40,    11.37,    85.00,     1.00,     1.00,    12.70,    42.60,   114.00,  3285.00,    96.49,    16.14,   112.00,     1.00,     1.00,    12.57,"Colorado","2017/18"
"16","MSO in","North East",    64.98,    33.00,   448.00,    96.97,    76.68,    33.00,     0.00,     0.00,    72.99,    21.88,    36.00,   406.00,    97.22,    78.16,    36.00,     0.00,     0.00,    22.17,    56.18,    49.00,   560.00,    97.96,    90.64,    48.00,     0.00,     1.00,    54.29,"Connecticut","2017/18"
"17","MSO in","North East",    74.31,     6.00,    19.00,    83.33,    90.00,     6.00,     0.00,     0.00,    68.42,    12.50,     6.00,    19.00,    83.33,    90.00,     6.00,     0.00,     0.00,    15.79,    64.17,    10.00,    21.00,    90.00,    95.24,    10.00,     0.00,     0.00,    57.14,"District of Columbia","2017/18"
