"","state","category","acreage","year"
"1","national","Corn",83648719.40506,2008
"2","national","Cotton",8143421.11346,2008
"3","national","Rice",3062969.846892,2008
"4","national","Sorghum",8455946.508992,2008
"5","national","Soybeans",70112465.740812,2008
"6","national","Sunflower",2000279.688564,2008
"7","national","Peanuts",1286253.50598,2008
"8","national","Tobacco",43536.071834,2008
"9","national","Sweet Corn",359091.80801,2008
"10","national","Pop or Orn Corn",115222.776188,2008
"11","national","Mint",22971.743442,2008
"12","national","Barley",3355777.123202,2008
"13","national","Durum Wheat",2596428.600176,2008
"14","national","Spring Wheat",14605554.261832,2008
"15","national","Winter Wheat",38476792.92102,2008
"16","national","Other Small Grains",23422.980868,2008
"17","national","Dbl Crop WinWht/Soybeans",6325646.392268,2008
"18","national","Rye",415323.908516,2008
"19","national","Oats",1347046.462638,2008
"20","national","Millet",600200.930292,2008
"21","national","Speltz",6320.659874,2008
"22","national","Canola",930032.582116,2008
"23","national","Flaxseed",245623.942876,2008
"24","national","Safflower",205076.401614,2008
"25","national","Rape Seed",275.101378,2008
"26","national","Mustard",37559.900266,2008
"27","national","Alfalfa",18119920.101646,2008
"28","national","Other Hay/Non Alfalfa",27222679.988966,2008
"29","national","Camelina",7765.331298,2008
"30","national","Buckwheat",7947.694378,2008
"31","national","Sugarbeets",990798.6291,2008
"32","national","Dry Beans",1492563.082324,2008
"33","national","Potatoes",939157.852724,2008
"34","national","Other Crops",114851.600602,2008
"35","national","Sugarcane",1021150.072644,2008
"36","national","Sweet Potatoes",72588.956812,2008
"37","national","Misc Vegs & Fruits",22145.327338,2008
"38","national","Watermelons",44915.581816,2008
"39","national","Onions",143998.558242,2008
"40","national","Cucumbers",37882.59396,2008
"41","national","Chick Peas",0,2008
"42","national","Lentils",229697.41896,2008
"43","national","Peas",1016015.217578,2008
"44","national","Tomatoes",241858.812456,2008
"45","national","Caneberries",7162.19877,2008
"46","national","Hops",40999.668264,2008
"47","national","Herbs",60439.127804,2008
"48","national","Clover/Wildflowers",210256.402662,2008
"49","national","Sod/Grass Seed",1516889.205226,2008
"50","national","Switchgrass",4156.54386,2008
"51","national","Fallow/Idle Cropland",26137540.713096,2008
"52","national","Forest",0,2008
"53","national","Cherries",248803.954682,2008
"54","national","Peaches",63943.390062,2008
"55","national","Apples",566093.91927,2008
"56","national","Grapes",960529.026548,2008
"57","national","Christmas Trees",71267.046876,2008
"58","national","Other Tree Crops",82364.952264,2008
"59","national","Citrus",115830.134202,2008
"60","national","Pecans",489936.428334,2008
"61","national","Almonds",996515.934052,2008
"62","national","Walnuts",307055.170314,2008
"63","national","Pears",45529.61165,2008
"64","national","Wetlands",0,2008
"65","national","Aquaculture",214949.805638,2008
"66","national","Open Water",32530940.549434,2008
"67","national","Perennial Ice/Snow",321424.269048,2008
"68","national","Developed/Open Space",63812285.46309,2008
"69","national","Developed/Low Intensity",28413905.87311,2008
"70","national","Developed/Med Intensity",11935808.809282,2008
"71","national","Developed/High Intensity",4046077.869078,2008
"72","national","Barren",19982009.273672,2008
"73","national","Deciduous Forest",238520119.862272,2008
"74","national","Evergreen Forest",243318557.300532,2008
"75","national","Mixed Forest",28803281.0721,2008
"76","national","Shrubland",422653591.985006,2008
"77","national","Grassland/Pasture",400439548.904098,2008
"78","national","Woody Wetlands",77283344.771026,2008
"79","national","Herbaceous Wetlands",19053075.762704,2008
"80","national","Pistachios",279469.863342,2008
"81","national","Triticale",112052.549718,2008
"82","national","Carrots",41736.237192,2008
"83","national","Asparagus",2942.495014,2008
"84","national","Garlic",17432.35369,2008
"85","national","Cantaloupes",36464.387422,2008
"86","national","Prunes",0,2008
"87","national","Olives",57929.856302,2008
"88","national","Oranges",1152046.955558,2008
"89","national","Honeydew Melons",12014.83585,2008
"90","national","Broccoli",13918.306096,2008
"91","national","Peppers",19393.201588,2008
"92","national","Pomegranates",29748.755804,2008
"93","national","Nectarines",7329.661452,2008
"94","national","Greens",10692.258732,2008
"95","national","Plums",132293.962022,2008
"96","national","Strawberries",22186.915016,2008
"97","national","Squash",11782.656514,2008
"98","national","Apricots",592.235222,2008
"99","national","Vetch",5538.72257,2008
"100","national","Dbl Crop WinWht/Corn",356052.126818,2008
"101","national","Dbl Crop Oats/Corn",182979.556168,2008
"102","national","Lettuce",24047.908008,2008
"103","national","Pumpkins",17068.961894,2008
"104","national","Dbl Crop Lettuce/Durum Wht",117.201638,2008
"105","national","Dbl Crop Lettuce/Cantaloupe",5952.597804,2008
"106","national","Dbl Crop Lettuce/Cotton",9366.345704,2008
"107","national","Dbl Crop Lettuce/Barley",0,2008
"108","national","Dbl Crop Durum Wht/Sorghum",181.695898,2008
"109","national","Dbl Crop Barley/Sorghum",0,2008
"110","national","Dbl Crop WinWht/Sorghum",361675.803896,2008
"111","national","Dbl Crop Barley/Corn",19684.315334,2008
"112","national","Dbl Crop WinWht/Cotton",98811.433352,2008
"113","national","Dbl Crop Soybeans/Cotton",0,2008
"114","national","Dbl Crop Soybeans/Oats",25994.300296,2008
"115","national","Dbl Crop Corn/Soybeans",3321.009602,2008
"116","national","Blueberries",178831.46328,2008
"117","national","Cabbage",16749.826504,2008
"118","national","Cauliflower",1170.237228,2008
"119","national","Celery",2939.826286,2008
"120","national","Radishes",2249.51531,2008
"121","national","Turnips",1093.733692,2008
"122","national","Eggplants",50.928226,2008
"123","national","Gourds",481.038222,2008
"124","national","Cranberries",31420.713896,2008
"125","national","Dbl Crop Barley/Soybeans",58358.187146,2008
"126","alabama","Corn",232992.18607,2008
"127","alabama","Cotton",251914.57956,2008
"128","alabama","Rice",0,2008
"129","alabama","Sorghum",3079.712112,2008
"130","alabama","Soybeans",260909.972072,2008
"131","alabama","Sunflower",295.339232,2008
"132","alabama","Peanuts",188301.666982,2008
"133","alabama","Tobacco",0,2008
"134","alabama","Sweet Corn",257.087464,2008
"135","alabama","Pop or Orn Corn",166.128318,2008
"136","alabama","Mint",0,2008
